source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
train2000,1060_000579,000579,6.0718,7.9249,2.0839,5.3602,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1061_012584,012584,6.8986,2.3431,2.0318,3.7578,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1062_007518,007518,7.0343,1.0455,1.0235,3.0344,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1063_012413,012413,0.2364,1.4251,2.4226,1.3614,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1064_010771,010771,4.0567,7.359,7.2776,6.2311,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1065_010648,010648,10.9501,1.7079,5.1766,5.9449,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1066_002638,002638,0.8263,2.1865,5.1745,2.7291,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1067_006338,006338,8.5805,4.3037,4.59,5.8247,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1068_009797,009797,10.3093,0.7029,6.5219,5.8447,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1069_011532,011532,8.2242,5.4371,2.6462,5.4358,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,106_011676,011676,4.3566,3.3885,3.4366,3.7272,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1070_002157,002157,1.917,2.7532,4.2605,2.9769,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1071_011856,011856,1.4476,2.0019,4.3405,2.5967,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1072_004203,004203,2.0582,14.7955,5.9056,7.5864,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1073_000290,000290,3.5476,5.3628,11.966,6.9588,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1074_010939,010939,0.7649,1.1201,13.4674,5.1175,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1075_009175,009175,3.023,0.5864,6.1934,3.2676,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1076_008368,008368,4.4618,7.3593,0.6844,4.1685,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1077_002888,002888,5.3175,0.5237,2.6928,2.8447,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1078_015686,015686,11.5894,8.4217,7.751,9.254,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1079_015753,015753,1.0046,0.4589,0.1053,0.5229,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,107_005558,005558,1.9586,3.6513,7.6928,4.4342,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1080_013092,013092,9.2928,1.2288,21.3996,10.6404,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
train2000,1081_006439,006439,1.4286,2.7166,8.1385,4.0946,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1082_014064,014064,3.6183,2.6803,23.4342,9.9109,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
train2000,1083_005880,005880,0.6489,0.3839,0.3831,0.472,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1084_002824,002824,4.2013,3.9231,0.0952,2.7399,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1085_000243,000243,1.2358,0.6455,2.481,1.4541,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1086_002286,002286,2.6475,2.8839,0.1695,1.9003,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1087_008258,008258,15.909,10.0769,10.209,12.065,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1088_008408,008408,5.2019,3.8339,1.5072,3.5143,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1089_014937,014937,2.932,3.8629,5.8229,4.2059,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,108_005088,005088,0.0828,3.6496,11.4752,5.0692,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1090_015538,015538,1.3415,3.6371,3.4851,2.8212,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1091_012796,012796,22.1528,2.5275,21.4727,15.3843,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1092_012308,012308,8.1825,4.2849,6.1446,6.204,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1093_013522,013522,1.8733,0.9894,4.8421,2.5683,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1094_015602,015602,1.4448,36.6358,35.2818,24.4541,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1095_015544,015544,3.2808,1.127,3.3529,2.5869,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1096_001258,001258,4.5848,4.248,4.2838,4.3722,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1097_015172,015172,6.1788,15.1551,1.7714,7.7018,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1098_011551,011551,8.7662,4.5056,1.2886,4.8535,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1099_012564,012564,0.2005,3.1398,0.9006,1.4136,1,PT,PT193,base_direct_mt,base_direct_tll
