source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
trainfull,1065_010648,010648,11.2958,3.2372,6.6277,7.0536,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1066_002638,002638,0.4692,2.0762,4.3339,2.2931,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1067_006338,006338,9.2266,3.9823,3.404,5.5376,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1068_009797,009797,10.01,2.8068,0.6559,4.4909,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1069_011532,011532,8.337,4.6214,4.8475,5.9353,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,106_011676,011676,3.9012,3.5109,2.8985,3.4369,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1070_002157,002157,1.1047,2.7492,5.7163,3.1901,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1071_011856,011856,2.0351,2.8756,6.3881,3.7663,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1072_004203,004203,1.7618,13.8359,2.8854,6.161,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1073_000290,000290,3.8969,4.6608,0.334,2.9639,1,MT+TL_L,base_direct_pt,MT190,TLL197
trainfull,1074_010939,010939,1.0,1.6516,15.3548,6.0021,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1075_009175,009175,4.4213,0.6501,5.3247,3.4654,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1076_008368,008368,4.8095,7.0156,0.3829,4.0693,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1077_002888,002888,5.5285,0.6564,2.6904,2.9584,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1078_015686,015686,11.6203,9.0913,8.0045,9.572,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1079_015753,015753,1.1191,1.1358,3.1085,1.7878,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,107_005558,005558,0.7865,3.9525,11.6229,5.454,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1080_013092,013092,9.4552,1.573,21.2728,10.767,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,1081_006439,006439,1.4365,0.9505,8.7185,3.7018,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1082_014064,014064,1.0965,4.3517,20.3398,8.596,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,1083_005880,005880,1.0767,0.9654,0.6624,0.9015,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1084_002824,002824,1.1668,4.4607,0.1623,1.9299,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1085_000243,000243,1.6172,0.0863,1.8149,1.1728,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1086_002286,002286,2.947,3.534,1.4326,2.6379,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1087_008258,008258,17.0966,10.9711,9.8986,12.6554,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1088_008408,008408,4.3045,3.9155,0.4389,2.8863,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1089_014937,014937,2.4983,3.5208,5.9697,3.9963,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,108_005088,005088,0.522,3.8962,10.1376,4.8519,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1090_015538,015538,2.696,4.2871,3.3954,3.4595,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1091_012796,012796,20.8549,2.533,29.1183,17.5021,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,1092_012308,012308,8.7563,4.2395,5.8702,6.2887,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1093_013522,013522,2.1458,0.8369,3.3206,2.1011,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1094_015602,015602,0.8465,33.8372,43.4022,26.0286,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1095_015544,015544,0.3117,0.8832,3.6545,1.6165,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1096_001258,001258,4.1246,3.4328,3.1371,3.5648,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1097_015172,015172,6.3266,15.4498,2.1581,7.9782,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1098_011551,011551,8.6521,2.4196,2.9953,4.689,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1099_012564,012564,0.4733,3.1905,0.9421,1.5353,1,PT,PT193,base_direct_mt,base_direct_tll
trainfull,109_005531,005531,1.6773,3.2481,2.2322,2.3859,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1100_011176,011176,0.6092,3.5174,7.7088,3.9451,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1101_010185,010185,1.4197,9.1468,7.3914,5.986,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1102_005259,005259,1.2838,3.2135,5.0099,3.1691,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1103_007637,007637,15.3482,6.6978,41.724,21.2567,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1104_007857,007857,3.2414,1.839,6.2924,3.7909,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1105_004774,004774,1.8403,3.2106,2.6281,2.5597,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1106_009352,009352,3.3913,0.2398,3.204,2.2784,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1107_013082,013082,1.7115,0.9011,0.8446,1.1524,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1108_002310,002310,2.2792,8.7762,12.4229,7.8261,0,MT,base_direct_pt,MT190,base_direct_tll
