file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,pt_source205,mt_source205,tll_source205,changed_targets205
1232_003910,003910,0.1909,0.8406,2.3278,1.1198,1,checkpoint186,checkpoint93,checkpoint186,
1233_000706,000706,3.3057,2.5386,4.2425,3.3623,1,checkpoint186,gate135_mt,checkpoint186,
1234_005126,005126,4.463,3.7618,2.0556,3.4268,1,checkpoint186,checkpoint93,checkpoint186,
1235_015817,015817,0.0801,4.0195,0.0236,1.3744,1,checkpoint186,checkpoint93,checkpoint186,
1236_011670,011670,1.7687,3.5347,4.4514,3.2516,1,checkpoint186,checkpoint93,checkpoint186,
1237_011651,011651,2.3705,1.6374,2.1439,2.0506,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1238_005514,005514,0.2879,2.5983,7.1673,3.3512,1,checkpoint186,gate155_mt,checkpoint186,
1239_001712,001712,3.4174,0.8224,9.4721,4.5706,1,checkpoint186,checkpoint93,checkpoint186,
1240_008745,008745,1.2084,2.2193,2.3688,1.9322,1,checkpoint186,gate155_mt,checkpoint186,
1241_009370,009370,5.2064,1.0972,5.3498,3.8845,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1242_004573,004573,9.4404,4.6824,2.5173,5.5467,0,checkpoint186,adaptive190_MT,checkpoint186,
1243_001914,001914,3.0447,1.7241,3.9717,2.9135,1,checkpoint186,gate155_mt,checkpoint186,
1244_002455,002455,1.251,9.1086,0.1138,3.4911,1,checkpoint186,adaptive190_MT,checkpoint186,
1245_000756,000756,2.8922,4.3675,0.4582,2.5726,1,checkpoint186,adaptive190_MT,checkpoint186,
1246_008370,008370,0.426,1.6095,11.7632,4.5996,1,checkpoint186,checkpoint93,checkpoint186,
1247_002584,002584,2.6283,0.3133,8.6702,3.8706,1,checkpoint186,checkpoint93,checkpoint186,
1248_006055,006055,0.8392,8.4065,3.0967,4.1141,1,checkpoint186,adaptive190_MT,checkpoint186,
1249_015524,015524,0.7332,0.3655,0.8684,0.6557,1,checkpoint186,gate155_mt,checkpoint186,
1250_007555,007555,2.8483,0.5343,1.8681,1.7502,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1251_003433,003433,8.5855,4.6896,7.554,6.943,0,checkpoint186,adaptive190_MT,checkpoint186,
1252_013377,013377,4.9073,3.1354,0.8278,2.9568,1,checkpoint186,selector168_mt_guard171,checkpoint186,
